ref_id	level	category	page	topic	usage	example_jp	example_vi	tags	status
N4-REF-0001	N4	honorific-reference	64	いる	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「おる」, kính ngữ「いらっしゃる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0002	N4	honorific-reference	64	行く／来る	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「参る」, kính ngữ「いらっしゃる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0003	N4	honorific-reference	64	言う	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「申す／申し上げる」, kính ngữ「おっしゃる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0004	N4	honorific-reference	64	見る	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「拝見する」, kính ngữ「ご覧になる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0005	N4	honorific-reference	64	会う	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「お目にかかる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0006	N4	honorific-reference	64	知っている	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「存じる／存じ上げる」, kính ngữ「ご存じだ」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0007	N4	honorific-reference	64	する	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「いたす」, kính ngữ「なさる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0008	N4	honorific-reference	64	聞く	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「うかがう」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0009	N4	honorific-reference	64	座る	Kính ngữ và khiêm nhường ngữ đặc biệt: kính ngữ「おかけになる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0010	N4	honorific-reference	64	食べる／飲む	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「いただく」, kính ngữ「召し上がる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
