item_id	level	deck_id	source_position	pattern	meaning	usage	example_jp	example_vi	tags	status
N4-GRAMMAR-2001	N4	n4_grammar_jlpt	2001	Vてもいいですか	Tôi làm ~ có được không?	Dùng để xin phép	ここに座ってもいい？	Tôi ngồi đây có được không?	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:1;item:1;frequency:3;exams:T7/2023,T12/2022,T12/2021	ocr_ready
N4-GRAMMAR-2002	N4	n4_grammar_jlpt	2002	Vる／Nの／Số lượng + 前に	Trước khi ~		寝る前に歯を磨きます。	Trước khi đi ngủ thì tôi đánh răng.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:1;item:2;frequency:2;exams:T12/2021,T12/2013	ocr_ready
N4-GRAMMAR-2003	N4	n4_grammar_jlpt	2003	Số lượng／Nの／Vた + 後で	Sau khi ~		宿題をしたあとで、ゲームをします。	Sau khi làm xong bài tập thì tôi sẽ chơi game.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:1;item:3;frequency:2;exams:T7/2024,T7/2017	ocr_ready
N4-GRAMMAR-2004	N4	n4_grammar_jlpt	2004	Vても、〜	Cho dù ~		なおしても、すぐこわれる。	Cho dù có sửa xong đi nữa thì nó lại hỏng ngay thôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:1;item:4;frequency:3;exams:T12/2025,T12/2024,T12/2021	ocr_ready
N4-GRAMMAR-2005	N4	n4_grammar_jlpt	2005	Vてから、〜	Sau khi ~		歯を磨いてから寝ます。	Đánh răng xong xuôi rồi mới đi ngủ.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:2;item:5;frequency:3;exams:T12/2024,T7/2024,T12/2021	ocr_ready
N4-GRAMMAR-2006	N4	n4_grammar_jlpt	2006	Vましょうか	Để tôi làm ~ cho nhé.	Đề nghị giúp đỡ đối phương	持ちましょうか？	Để tôi cầm giúp anh nhé?	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:2;item:6;frequency:1;exams:T12/2021	ocr_ready
N4-GRAMMAR-2007	N4	n4_grammar_jlpt	2007	Vたり、Vたりする	Nào là ~ nào là	Liệt kê các hành động không theo thứ tự thời gian	日曜日は買い物したり、音楽を聞いたりします。	Chủ nhật tôi đi mua sắm, nghe nhạc.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:2;item:7;frequency:3;exams:T7/2025,T7/2021,T7/2018	ocr_ready
N4-GRAMMAR-2008	N4	n4_grammar_jlpt	2008	Vてはいけない	Không được ~		ここで吸ってはいけない。	Không được phép hút thuốc ở khu vực này.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:2;item:8;frequency:3;exams:T7/2024,T7/2018,T12/2013	ocr_ready
N4-GRAMMAR-2009	N4	n4_grammar_jlpt	2009	Vないといけない	Phải làm ~		宿題を出さないといけない。	Phải nộp bài tập thôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:3;item:9;frequency:6;exams:T12/2025,T12/2024,T7/2024,T7/2023,T7/2018,T7/2014	ocr_ready
N4-GRAMMAR-2010	N4	n4_grammar_jlpt	2010	Vなくてもいい	Không cần phải ~		時間があるから、急がなくてもいいよ。	Vẫn còn thời gian nên cậu không cần phải vội đâu.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:3;item:10;frequency:4;exams:T7/2025,T7/2024,T7/2018,T7/2014	ocr_ready
N4-GRAMMAR-2011	N4	n4_grammar_jlpt	2011	〜しか 〜ない	Chỉ có N/Chỉ làm ~		2 本しか持っていない。	Tôi chỉ có 2 chiếc.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:3;item:11;frequency:11;exams:T7/2025,T7/2024,T12/2022,T7/2021,T12/2021,T7/2018,T7/2017,T7/2014,T12/2013,T7/2013,2010-2011	ocr_ready
