item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0001	N4	n4_vocab_core	1	石	いし	Đá	THẠCH	一番大きいピラミッドをつくるのに石が 270万個も使われました。	270 vạn khối đá đã được sử dụng để xây lên Kim tự tháp lớn nhất.		ready
N4-VOCAB-0002	N4	n4_vocab_core	2	経験	けいけん	Kinh nghiệm	KINH NGHIỆM	先生は面白 いし、親切 だし、それに経験も あります。	Thầy giáo tôi vừa thân thiện, thú vị lại còn có nhiều kinh nghiệm.		ready
N4-VOCAB-0003	N4	n4_vocab_core	3	店員	てんいん	Nhân viên quán	ĐIẾM VIÊN	あの店 員はいつも優 しい。	Nhân viên quán đó lúc nào cũng hiền lành tốt bụng.		ready
N4-VOCAB-0004	N4	n4_vocab_core	4	食堂	しょくどう	Nhà ăn	THỰC ĐƯỜNG	この大学には食堂がない。	Trường học này không có nhà ăn.		ready
N4-VOCAB-0005	N4	n4_vocab_core	5	港	みなと	Cảng	CẢNG	ここから港が見える。	Có thể nhìn thấy cảng từ đây.		ready
N4-VOCAB-0006	N4	n4_vocab_core	6	小説	しょうせつ	Tiểu thuyết	TIỂU THUYẾT	Q: どんな本を 読みますか。 A: 小説を 読みます。	Bạn đọc sách gì vậy? Tớ đọc tiểu thuyết.		ready
N4-VOCAB-0007	N4	n4_vocab_core	7	日記	にっき	Nhật ký	NHẬT KÝ	毎日日記を書く。	Viết nhật ký hàng ngày.		ready
N4-VOCAB-0008	N4	n4_vocab_core	8	夕方	ゆうがた	Chiều tối	TỊCH PHƯƠNG	夕方、飲みに 行きませんか。	Chiều tối đi nhậu với mình nhé?		ready
N4-VOCAB-0009	N4	n4_vocab_core	9	秋	あき	Mùa thu	THU	春と秋、どちらの方が 好きですか。	Mùa hè và mùa thu, bạn thích mùa nào hơn?		ready
N4-VOCAB-0010	N4	n4_vocab_core	10	青い	あおい	Xanh da trời	THANH	その青いかさは 私のです。	Cái ô màu xanh da trời đó là của tôi.		ready
N4-VOCAB-0011	N4	n4_vocab_core	11	場所	ばしょ	Nơi, chỗ, địa điểm, vị trí	TRƯỜNG SỞ	この場所に座 ってはいけません。	Không được ngồi chỗ này. 2		ready
N4-VOCAB-0012	N4	n4_vocab_core	12	歩く	あるく	Đi bộ	BỘ	うちから学校まで歩いて10分です。	Đi bộ từ nhà tới trường hết 10 phút.		ready
N4-VOCAB-0013	N4	n4_vocab_core	13	便利	べんり	Thuận tiện, tiện lợi	TIỆN LỢI	私は 安くて 便利なパソコンが 欲しいです。	Tôi muốn một cái máy tính vừa rẻ vừa tiện lợi.		ready
N4-VOCAB-0014	N4	n4_vocab_core	14	眠い	ねむい	Buồn ngủ	MIÊN	眠いので、コーヒーを飲みたいです。	Vì buồn ngủ nên tôi muốn uống cà phê.		ready
N4-VOCAB-0015	N4	n4_vocab_core	15	雪	ゆき	Tuyết	TUYẾT	日本の 冬は 雪が 降 ります。	Mùa đông ở Nhật có tuyết rơi.		ready
N4-VOCAB-0016	N4	n4_vocab_core	16	熱心な	ねっしんな	Nhiệt tình	NHIỆT TÂM	先生は熱心な人です。	Thầy giáo tôi là người rất nhiệt tình.		ready
N4-VOCAB-0017	N4	n4_vocab_core	17	興味	きょうみ	Hứng thú	HƯNG VỊ	日本の教育に興味があります。	Tôi có hứng thú với nền giáo dục Nhật Bản.		ready
N4-VOCAB-0018	N4	n4_vocab_core	18	ルール		Quy tắc		大人なので、社会のルールは守ること。	Là người lớn, phải tuân thủ các quy tắc xã hội.		ready
N4-VOCAB-0019	N4	n4_vocab_core	19	用意	ようい	Sửa soạn, chuẩn bị	DỤNG Ý	音楽会は６時に始まります。今、会場 用意しているところです。	Buổi hòa nhạc bắt đầu lúc 6 giờ. Bây giờ tôi đang chuẩn bị hội trường.		ready
N4-VOCAB-0020	N4	n4_vocab_core	20	相談	そうだん	Tư vấn, trao đổi	TƯƠNG ĐÀM	ご相談ください。	Hãy trao đổi với chúng tôi nhé!		ready
N4-VOCAB-0021	N4	n4_vocab_core	21	運ぶ	はこぶ	Vận chuyển	VẬN	一人でこれを運んでください	Bê cái này một mình đi!		ready
N4-VOCAB-0022	N4	n4_vocab_core	22	危険	きけん	Nguy hiểm	NGUY HIỂM	危険ですから入らないでください	Nguy hiểm nên đừng vào!		ready
N4-VOCAB-0023	N4	n4_vocab_core	23	止める	とめる	Đỗ (xe); dừng lại; bỏ, ngừng; cấm chỉ	CHỈ	ここで車をとめてはいけません	Không được đỗ xe tại đây!		ready
N4-VOCAB-0024	N4	n4_vocab_core	24	触る	さわる	Sờ; mó; chạm	XÚC	あついからさわらないでくださいね	Nóng nên đừng sờ vào nhé!		ready
N4-VOCAB-0025	N4	n4_vocab_core	25	留守	るす	Vắng nhà	LƯU THỦ	留守にしておりまして失礼 しました。	Xin lỗi hiện tại tôi đang không ở nhà. 3		ready
N4-VOCAB-0026	N4	n4_vocab_core	26	親切	しんせつ	Tốt bụng, thân thiện, tử tế	THÂN THIẾT	お年寄りに親切にする。	Cư xử thân thiện với những người cao tuổi. 彼は親切でかっこいいので人気がある。 Anh ấy được hâm mộ vì tốt bụng và đẹp trai.		ready
